Text,Emotion,Temiz_Text
"""Dota 2"" oynarken 75 dakikalık maçta net gittiği için kaybetmiş ve beş yemiştim.",Sadness,dota oynamak dakika maç net gitmek kaybetmek beş yemek
Birisinin istemediğim şekilde ısrarlı davranışına öfkeleniyorum,Anger,biri istemek şekil ısrar davranmak öfke
Sınavdan yüksek not almak.,Happy,sınav yüksek not almak
Örümcek gördüğüm zaman.,Fear,örümcek görmek zaman
Korku filmlerinden.,Fear,korku film
Yedi yaşında iken anneannemin aslında annemin teyzesi olduğunu ve anneannemin hayatta olmadığını öğrendiğim zaman.,Surprise,yedi yaş iken anneanne aslında anne teyze olduğunu anneanne hayat olmak öğrenmek zaman
yere düşen patatesi yiyen arkadaşım,Disgust,yer düşmek patates yiyen arkadaş
Eğlendiğini sanan birisinin diğer insanları rahatsız etmesi.,Anger,eğlenmek sanmak biri diğer insan rahat etmek
Fenerbahçe'nin herhangi bir maçta gol yemesi.,Sadness,fenerbahçe nin herhangi maç gol yemesi
Yüksekten korkarım.,Fear,yüksek korkmak
Ispanak yediğimde ve haksızlığa uğradığımda.,Anger,ıspanak yediğimde hak uğramak
Sevmediğim kişileri görmek.,Anger,sevmek kişi görmek
annemin gereksiz yere bana küsmesi beni öfkelendiriyor.,Anger,anne gerek yer küsmek öfke
Yanımda sümkürülmesinden tiksiniyorum.,Disgust,yan sümkürmek tiksinmek
"Film güzel ama bazı yerleri biraz fazla sıktı, son dakikada bitirmek gerekti.",Neutral,film güzel bazı yer sıkmak son dakika bitirmek gerekmek
1876 yılında tahta davet edildiği bu meydanda atçılık ve hayvancılıkla uğraşan ve ziraat işleri yapan Şehzade Abdülhamid Efendi sarayda geçirdiği yıllarda çevredeki arazileri satın alarak burayı bir çiftlik haline getirmiştir. Onun saltanatı sırasında bu çiftlik Maslak Çiftliği Hümayun adıyla anılmıştır.,Neutral,yıl tahta davet edildiği meydan at hayvan uğraşmak ziraat iş yapmak şehzade abdülhamid efendi saray geçirmek yıl çevre arazi satmak alarak bura çiftlik hal getirmek o saltanat sıra çiftlik maslak çiftlik hümayun ad anılmıştır
Fare görmekten tiksiniyorum.,Disgust,fare görmek tiksinmek
Arkadaşımın hakkının yenmesi.,Anger,arkadaş hak yenmek
El yıkamayanlardan tiksiniyorum.,Disgust,el yıkamak tiksinmek
Düşük beklediğim sınavdan yüksek not aldığım zaman.,Happy,düşük beklemek sınav yüksek not aldığım zaman
"fena değil, yenilebilir ama vay canına da değil",Neutral,fena değil yenmek vay can değil
Güvensiz hissettiğimde tedirgin olurum ve karanlıkta birisi bana zarar verecekmiş gibi gelir. Ani hareketler ve sevdiklerime bir şey olacakmış gibi hissettiğimde de korkarım.,Fear,güven hissetmek tedirgin olurum karanlık zarar vermek gelmek ani hareket sevmek şey olacakmış hissetmek korkmak
Çok kaliteli değil ama idare eder,Neutral,çok kalite değil idare eder
Karşımdaki burnunu karıştırınca.,Disgust,karşı burun karışmak
Okulumun yetersizliğinden.,Sadness,okul yetersiz
Ailemin sağlığında olan her tehlikeli durumda.,Sadness,aile sağlık olan tehlike durum
Haluk Bilginer -Böyle bir kara sevda ??,Neutral,haluk bilginer böyle kar sevda
Her hangi bir insanın hak etmediği bir şekilde ölmesi.,Sadness,insan hak etmek şekil ölmek
Başarılı olmak ve sevdiğim insanlar ile olmak.,Happy,başarı olmak sevmek insan olmak
En kolay sınavdan 64 aldığım zaman.,Sadness,kolay sınav aldığım zaman
Değer verdiğim bir olayın sonuçlanması.,Happy,değer vermek olay sonuç
#ARCLK ***ARCLK*** ARÇELİK A.Ş.( Özel Durum Açıklaması (Genel) K.A.P Bildirisi https://t.co/aMQwAFrZIJ,Neutral,arclk arclk arçelik özel durum açıklamak genel bildiri
@ekrem_imamoglu Başkan iski ye bugün saat 3 den buyana su patlağı ihbarı en az 20 kez yapıldı bu saate kadar gelen giden yok. okadar çok su akıyorki yazık suya,Neutral,başkan iski ye bugün saat den buymak su patlak ihbar az kez yapmak saat gelmek giden yok okadar çok su akıyorki yazık su
hayvanlardan çok korkarım.,Fear,hayvan çok korkmak
Kötü geçen sınavdan yüksen not almak.,Happy,kötü geçen sınav yük not almak
Ağabeyimin şehit olması.,Sadness,ağabey şehit olmak
Birisinin yalan söylediğini anladığım an.,Anger,biri yalan söylemek anlamak an
Sevdiğim çocuğu gördüğüm zaman.,Happy,sevmek çocuk görmek zaman
yapılmasını istediğim ve uyardığım şeylerin yarım yamalak yapılması beni çileden çıkarır.,Anger,yapmak istemek uyarmak şey yarım yamalak yapmak çile çıkarmak
Yüksek beklediğim sınavdan düşük not alınca.,Sadness,yüksek beklemek sınav düşük not alınca
evde tek kaldığımda korku filmi izleyince korkudan altıma yapıyorum.,Fear,ev kalmak korku film izlemek korku alt yapmak
Yakınlık duyduğum birinin yapmasını istemediğim bir şeyi ısrarla yapmalarına öfkelenirim.,Anger,yakın duymak biri yapmak istemek şey ısrar yapmak öfke
Çoğu zaman mutluyum.,Happy,çoğu zaman mutlu
Benimle ilgili bir konu görüşülürken bana danışılmamasına kızarım.,Anger,ben ilgi konu görüşmek danışmak kızmak
okul çıkışında arkadaşımla beraber bizi köpek kovalamıştı.,Fear,okul çıkmak arkadaş beraber köpek kovalamak
Kuzenimin vefat ettiği zaman üzülmüştüm.,Sadness,kuzen vefat ettiği zaman üzülmüştüm
"
      yalnızlık. Ama bu yalnızlık kalabalıklar içindeki insanın yalnızlığı.
      O yalnızlıkta ölümü daha derinden hissediyorum.
      Ve de çaresizliği hissettiğim için.
    ",Fear,yalnız yalnız kalabalık iç insan yalnız yalnız ölüm deri hissetmek çare hissetmek
Yapmacık ve çok bağıran insanlardan tiksinirim.,Disgust,yapmacık çok bağırmak insan tiksinmek
Umumi tuvaletlere girdiğim zaman tiksiniyorum.,Disgust,umumî tuvalet girmek zaman tiksinmek
Bir bayanla birlikte olduğumda çok mutlu oldum.,Happy,bayan birlikte olduğumda çok mutlu oldum
Bal doğal bir tatlandırıcıdır.,Neutral,bal doğal tat
trafikte hızlı araç kullanılması ödümü patlatır,Fear,trafik hız araç kullanmak öd patlamak
Arkadaş edinme konusunda sorunlarım var bu beni üzüyor.,Sadness,arkadaş edinmek konu sorun var üzüyor
oda arkadaşlarım kişisel temizliklerine dikkat etmediklerinde midem bulanır.,Disgust,oda arkadaş kişisel temiz dikkat etmek mide bulanmak
Önüne gelen dişiye asılan tipler beni tiksindirir,Disgust,ön gelmek dişi asılan tip tiksinmek
fragmanı izlediğimde bu film bana başka bir filmi hatırlatıyor dedim ve yanlış hatırlamıyorsam bura da paylaştım 'kurtlarla dans' diye. İzledikten sonra da haklı olduğumu düşünüyorum.,Neutral,fragman izlemek film başka film hatırlamak dedim yanlış hatırlamak bura paylaşmak kurt dans izlemek sonra hak olduğumu düşünmek
hayvanlara şiddet uygulanması beni çileden çıkartır,Anger,hayvan şiddet uygulamak çile çıkartmak
Arkadaşımın bana yalan söylediğini öğrenince çok öfkelendim,Anger,arkadaş yalan söylemek öğrenmek çok öfke
Eşim bana evlenme teklifi ettiğinde çok şaşırdım,Surprise,eş evlenmek teklif ettiğinde çok şaşırmak
İnsanlığını kaybetmiş insanlara.,Anger,insan kaybetmek insan
Rahat ve huzurlu olduğum her an.,Happy,rahat huzur olduğum an
Yüksek not almak ve arkadaşlarımla dedikodu yapmak.,Happy,yüksek not almak arkadaş dedikodu yapmak
Güzel bir liseden iğrenç bir üniversiteye girmekten korkuyorum.,Fear,güzel lise iğrenç üniversite girmek korkmak
bir amcanın yere balgam atışı,Disgust,amca yer balgam atışı
Fiyat performans açısından makul bir seçenekti ancak bazı odalarda bakım gerektiren noktalar vardı.,Neutral,fiyat performans açı makul seçenek bazı oda bakım gerekmek nokta var
Beklenmedik olaylar karşısında.,Surprise,beklemek olay karşı
"Tasasız, kaygısız bir gün geçirdiğim zaman.",Happy,tasa kaygı gün geçirmek zaman
Okuldan eve dönerken birisi önümü kesip sözlü tacizde bulunmuştu.,Fear,okul ev dönmek ön kesmek sözlü taciz bulunmak
Fena değil idare ederaçma kapama sistemi çok sert kumaşı okadar kaliteli değil teşekürler,Neutral,fena değil idare ederaçma kapamak sistem çok sert kumaş okadar kalite değil teşekürler
Kaza yaptığımda aileme bir şey olduğunu sanmıştım.,Fear,kaza yapmak aile şey olduğunu sanmak
"""İyiydi sadece Hayao Miyazakinin önceki filmi Spirited Away kadar etkilemedi beni.""",Neutral,iyi sadece hayao miyazakinin önce film spirited away etkilemek
Birisi önümde kusarsa.,Disgust,ön kusmak
YGS sonuçları açıklandığında çok üzüldüm.,Sadness,ygs sonuç açıklamak çok üzüldüm
Fahrettin Koca'nın mülakatlar sırasında hemşireleri ve doktorları yeterince değerlendirmemesi veya bu mesleği önemli görmemesi konusunda bir endişe bulunuyor mu? Bu konuda bir açıklama yapılacak mı?,Neutral,fahrettin koca nın mülakat sıra hemşire doktor yeterince değer meslek önem görmek konu endişe bulunmak konu açıklamak yapmak
Trafik kazası geçirmekten.,Fear,trafik kaza geçirmek
Arkadaşlarımla vakit geçirince.,Happy,arkadaş vakit geçirmek
Fare gördüğümde tuhaf bir duygu içinde tiksiniyorum.,Disgust,fare görmek tuhaf duygu iç tiksinmek
yanımda sigara içilmesinden çok tiksinirim.,Disgust,yan sigara içilmesinden çok tiksinmek
altı sene aradan sonra dayımın bizi ziyaret etmesine şaşırdım.,Surprise,altı sene ara sonra dayımın ziyaret etmek şaşırmak
Kötü geçen sınavdan yüksek not almak.,Happy,kötü geçen sınav yüksek not almak
İstanbul Arkeoloji Müzesi Arkeoloji Müzesi Eski Şark Eserleri Müzesi ve Çinili Köşk Müzesi olmak üzere üç ana sosyal birimden oluşmaktadır.,Neutral,istanbul arkeoloji müze arkeoloji müze eski şark eser müze çini köşk müze olmak üç ana sosyal birim oluşmak
"Evde bir konu hakkında karar alınırken, beni ciddiye almamaları öfkelendiriyor.",Anger,ev konu hak karar alınırken ciddi almak öfkelenmek
fenerbahçe'nin maçında hakemlerin haksız karar vermeleri beni öfkelendiriyor.,Anger,fenerbahçe nin maç hakem hak karar vermek öfke
Sınavdan kötü not aldığım zaman.,Sadness,sınav kötü not aldığım zaman
Bir şeyi unutunca.,Sadness,şey unutmak
Okul bitiyor.Sevdiklerimden ayrıldığım için üzülüyorum.,Sadness,okul bitmek sevmek ayrıldığım üzülüyorum
kayın validemin eltilerime hediye aldığını duyunca çok öfkelendim.,Anger,kayın valide elti hediye aldığını duyunç çok öfke
"MacBook Air m1'im için aldım. Tam oturuyor. Şarj cihazını taktığınızda biraz kirli görünüyor. Ama yine de 100 liraya iyi. Bu paraya daha iyisini beklemeyin. Rengi tam olarak siyah değil, daha çok gri gibi.",Neutral,macbook air im aldım tam oturmak şarj cihaz takmak kir görünmek lira iyi para iyi beklemek renk tam olarak siyah değil çok gri
"Yemek teması ilgi çekici olsa da film, bazı konularda daha fazla derinleşebilirdi.",Neutral,yemek temas ilgi çekici olsa film bazı konu derin
vefat eden dedemi düşünmek beni çok üzüyor,Sadness,vefat eden dede düşünmek çok üzüyor
Yaşlı erkeklerin yerlere tükürmesi.,Disgust,yaş erkek yer tükürmek
Ağabeyimin askere gitmesine.,Sadness,ağabey asker gitmek
1969 yılında yatılı ilköğretmen okulunu kazandığımda çok sevinmiştim,Happy,yıl yatılı ilköğretmen okul kazanmak çok sevinmek
Haksız yere suçlandığım için.,Anger,hak yer suçlamak
@birazbluess @Trendyol hangisi promosyon acaba,Neutral,hangi promosyon
Öğrencilerim yarışma kazandığında sevindim,Happy,öğrenci yarışmak kazanmak sevinmek
Alaturka tuvaletler.,Disgust,alaturka tuvalet
Öbür dünyadaki varlıklarla ilgili konuşulunca korkarım.,Fear,öbür dünya varlık ilgili konuşmak korkmak
Çaresiz durumlar.,Sadness,çare durum
"Hiç ciddiye almadık bir şey olmaz diyerek yemek yemeye gitmiştik, gece yarısına kadar Çengelköy’de oturmuştuk ?? https://t.co/sk4YCRegPR",Neutral,hiç ciddi almak şey olmak diyerek yemek yemeye gitmek gece yarı çengelköy oturmak
Asansörde tek başımayken elektrikle gitmişti.,Fear,asansör baş elektrik gitmek
yeni aldığım eşyayı hemen o gün kaybetmem,Sadness,yeni aldığım eşya hemen gün kaybetmek
Serbest kıyafetle okula geldiğim zaman yakalanmaktan korkmuştum.,Fear,serbest kıyafet okul gelmek zaman yakalamak korkmak
Televizyonda izlediğim filmdeki tecavüz sahnesinden tiksindim.,Disgust,televizyon izlemek film tecavüz sahne tiksinmek
kömür madeninde ölen işçilere çok üzüldüm.,Sadness,kömür maden ölen işçi çok üzüldüm
Kolumun kırıldığını öğrendiğim an.,Fear,kol kırmak öğrenmek an
Bir gün kuzenim ile evde korku filmi izledikten sonra yatağıma giderken çok korkmuştum.,Fear,gün kuzen ev korku film izlemek sonra yatak gider çok korkmak
kendisiyle övünen insanlardan tiksinirim.,Disgust,kendi övünmek insan tiksinmek
"Eğitim ve Oyun Araç-Gereçleri, Son Halife Abdülmecid'in kızı Dürrüşehvar Sultan'ın kullandığı eğitim ve oyun araç-gereçlerini sergiliyor ve saray çocuklarının eğitimi hakkında fikir veriyor.",Neutral,eğitim oyun araç gereç son halife abdülmecid in kız dürrüşehvar sultan ın kullanmak eğitim oyun araç gereç sergilemek saray çocuk eğitim hak fikir vermek
Yemek hanede güzel bir yemek çıkarsa.,Happy,yemek hane güzel yemek çıkmak
Aylarca birbirini seven insanların bir günde yabancılaşması.,Surprise,aylarca birbiri sevmek insan gün yabancı
Gezi olayları beni çok şaşırttı.,Surprise,gezi olay çok şaşırmak
Uzun zamandır konuşmadığım birisinin mesaj atması.,Surprise,uzun zaman konuşmak biri mesaj atmak
Her şeye karışan insanlar.,Anger,şey karışmak insan
Ürün çok güzel bu güne kadar kullandığım ürünlerin çok üzerinde bir güzel performans. Ama satıcınin yetersiz paketleme sonucunda oluşan bir çatlama söz konusu (kargoda oluşan bir hasarsa tabii). Bunu göz önünde bulundurarak daha özenli bir kargolama yapmaları gerekir diye düşünüyorum.,Neutral,ürün çok güzel gün kullanmak ürün çok üzeri güzel performans satıcınin yetersiz paketlemek sonuç oluşmak çatlamak söz konu kargo oluşmak hasar tabiî bu göz ön bulunmak özen kargolama yapmak gerekmek düşünmek
yemekhanede önüme geçtiler,Anger,yemekhane ön geçmek
Siyasi av seferleri seçim dönemlerinde önemli rol oynar.,Neutral,siyasî av sefer seçim dönem önem rol oynamak
anne olduğum an bence benim en mutlu anım,Happy,anne olduğum an ben ben mutlu an
@tersyarraj noldu ona ya bi ara wp telegram bip derken kafasi karisip magaraya mi cekildi,Neutral,noldu bi ara wp telegram bip derken kafasi karisip magaraya cekildi
telefonumu düşürüp açılmadığında çok tırstım,Fear,telefon düşürmek açılmadığında çok tırsmak
Haberlerde çocuk ölümlerini gördüğüm zaman.,Sadness,haber çocuk ölüm görmek zaman
onun bana mesaj atması,Happy,o mesaj atmak
Canlıların iç güdüleri ile dünyaya gelmesi.,Surprise,canlı iç güdü dünya gelmek
Sınavlardan yüksek not almak.,Happy,sınav yüksek not almak
Doktoraya başlayınca çok mutlu olmuştum,Happy,doktora başlamak çok mutlu olmak
Şaka yapılınca mutlu hissederim.,Happy,şaka yapmak mutlu hissetmek
Küçük düşürülmekten.,Anger,küçük düşürmek
Kusmak.,Disgust,kusmak
Sınavım iyi geçerse mutlu olurum.,Happy,sınav iyi geçmek mutlu olurum
Amcam kanserden öldüğü zaman.,Sadness,amca kanser öldüğü zaman
Şampiyonlar ligi'nde Fenerbahçe'nin Chelsea'ye elenmesi üzdü.,Sadness,şampiyon ligi nde fenerbahçe nin chelsea ye elenmek üzdü
Köpek kovalaması.,Fear,köpek kovalamak
İnsanlara yapılan haksızlıklar ve insanların fiziksel özellikleri ile dalga geçilmesi.,Anger,insan yapmak hak insan fizik özellik dalga geçmek
hiç beklemediğim anda sürprizle karşılaşmak beni şaşırtır,Surprise,hiç beklemek an sürpriz karşılaşmak şaşırmak
"Elektronik, beyaz eşya ve dijital ürünler alanlarında faaliyet gösteren Vestel Ekspres mağazalarının Türkiye genelinde tüm iç stant üretimlerine ve kurulumlarına hız kesmeden eşlik ediyoruz. #dsign #design #Banking #ATMcabinette #retail #signage https://t.co/x6LZhotlS5",Neutral,elektronik beyaz eşya dijital ürün alan faaliyet göstermek vestel ekspres mağaza türkiye genel iç stant üretim kurulum hız kesmek eş ediyoruz dsign design banking atmcabinette retail signage
Böceklerden korkarım.,Fear,böcekler korkmak
mercimek çorbasının hiç tadı yoktu hiç lezzetli gelmedi salata da biber domates salatalık olması gerekirken biber hiç yoktu yanında gönderilen ekmek çok güzeldi servis iyiydi kurye harikaydı,Neutral,mercimek çorba hiç tadı yok hiç lezzet gelmek salata biber domates salatalık olmak gerekmek biber hiç yok yan göndermek ekmek çok güzel servis iyi kurye harika
Özgürlüğüm kısıtlanmaya çalışıldığı zaman.,Anger,özgür kısıtlamak çalışmak zaman
İnsanlara güvendikten sonra buna değmediklerini anladığımda üzülürüm.,Sadness,insan güvenmek sonra bu değmek anlamak üzülmek
İğne olmaktan çok korkuyorum.,Fear,iğne olmak çok korkmak
Hiç görmediğim yerleri gezmekten ve fotoğraf çekmekten mutlu olurum.,Happy,hiç görmek yer gezmek fotoğraf çekmek mutlu olurum
Bu okulu kazandığım zaman mutlu oldum.,Happy,okul kazanmak zaman mutlu oldum
Kusmuk.,Disgust,kusmuk
vefat eden büyüklerimi düşünmek içimi acıtıyor.,Sadness,vefat eden büyük düşünmek iç acımak
Gereksiz tepkiler gösterilmesi.,Anger,gerek tepki göstermek
8 aylık kardeşim yemek yerken ağzındakileri çıkarınca tiksiniyorum.,Disgust,aylık kardeş yemek yer ağzındakileri çıkar tiksinmek
Tadı efsane ama içindeki malzeme o kadar az ki asla bu kadar etmez.,Neutral,tadı efsane iç malzeme az asla etmek
Film çok güzel ama 9 puanı hak ettiğini düşünmüyorum.,Neutral,film çok güzel puan hak ettiğini düşünmek
Sevmediğim birisinin sürekli yanıma gelmesi.,Anger,sevmek biri sürekli yan gelmek
Tuvaletten çıktıktan sonra suların akmadığını gördüğümde.,Disgust,tuvalet çıkmak sonra su akmak görmek
korku filmi izlediğimde filmden korkmasam bile filmden sonra tuvalete gitmeye çok korkarım,Fear,korku film izlemek film korkmak bile film sonra tuvalet gitmek çok korkmak
Çalıştığım dersten kötü not alınca çok öfkelendim.,Anger,çalışmak ders kötü not alınca çok öfke
Hoca ödev verince öfkelenirim.,Anger,hoca ödev vermek öfke
pis kullanılmış eşyalar,Disgust,pis kullanmak eşya
Sınıfımla karşılaştığımda mutlu oldum.,Happy,sınıf karşılaşmak mutlu oldum
Sözümü geçiremediğim zaman.,Anger,söz geçirmek zaman
Birisi bana samimiyetsiz davrandığı zaman.,Anger,samimiyet davranmak zaman
Dedem ve eniştem öldüğünde üzüldüm.,Sadness,dede enişte öldüğünde üzüldüm
Mars'ta su bulunduğunda.,Surprise,mars ta su bulunmak
Sınavlardan beklemediğim notlar alınca şaşırırım.,Surprise,sınav beklemek not alınca şaşırmak
"Ons altın, geçen hafta %2,2 yükseldikten sonra yeni haftanın ilk işlem gününde saat 10.00 itibarıyla %0,1 artışla ons başına 1.981,80 dolardan fiyatlandı. Ons altın ve dolar/TL’deki yükselişin desteğiyle gram altın ise %0,22 yükselişle 1.830,50 seviyesinden işlem gördü. 
#altın #dolar #borsa",Neutral,ons altın geçen hafta yükselmek sonra yeni hafta ilk işlem gün saat itibar artmak ons baş dolar fiyatlamak ons altın dolar tl dek yükselmek destek gram altın yükselmek seviye işlem görmek altın dolar borsa
Çok sevdiğim birisinin başına bir şey gelmesi.,Sadness,çok sevmek biri baş şey gelmek
İçindeki ürün sağlam geldi fakat resimlerini bırakacağım ; ürünün bulunduğu kutu kullanlmış gibi teşhir ürünü gibiydi hepsi burada satıcısına yakştıramadım. İndirimden aldığım için iade etmicem .,Neutral,iç ürün sağlam gelmek resim bırakmak ürün bulunmak kutu kullanlmış teşhir ürün gibi bura satmak yakştıramadım indirim aldığım iade etmicem
Kardeşim olacağını öğrendiğim zaman.,Happy,kardeş olacağını öğrenmek zaman
Kuponumun tek golde yatması.,Sadness,kupon gol yatmak
İnsanların tükürüklerini koluna silmesi.,Disgust,insan tükürük kol silmek
Siyasilerin palavralarına inanan insanlara üzülüyorum.,Sadness,siyasî palavra inanmak insan üzülüyorum
Sırrımı verdiğim bir arkadaşım başkasına söylemişti.,Anger,sır vermek arkadaş başka söylemek
Bir babanın çocuğuna cinsel istismarda bulunduğunu öğrendim.,Disgust,baba çocuk cinsel istismar bulunmak öğrenmek
Uzun bir aradan sonra anne babamı gördüğümde çok sevindim.,Happy,uzun ara sonra anne baba görmek çok sevinmek
beslediğim köpeğimin arabanın altında kalıp bacağının kırılmasına çok üzüldüm.,Sadness,beslemek köpek araba alt kalıp bacak kırmak çok üzüldüm
"""Fenerbahçe"" ""Galatasaray'a"" yenilirse çok üzülürüm.",Sadness,fenerbahçe galatasaray yenmek çok üzülürüm
Okul tuvaletlerinin pisliği.,Disgust,okul tuvalet pis
Yılanlardan.,Fear,yılan
Sevdiklerimin değişmesi benim içime derin yaralar açar.,Sadness,sevmek değişmek ben iç derin yara açar
bir yerde tek başıma kalırsam yalnız bırakılırsam korkarım.,Fear,yer baş kalmak bırakmak korkmak
Beklemediğim sonuçlar korkutur.,Fear,beklemek sonuç korkutmak
Sevdiğim birisini kaybetmek ve başarısızlık.,Sadness,sevmek biri kaybetmek başarı
evde tek başıma iken elektriklerin kesilmesi,Fear,ev baş iken elektrik kesmek
çocuğum üniversiteyi kazanamayınca çok üzüldüm.,Sadness,çocuk üniversite kazanmak çok üzüldüm
Yaralı bir hayvan gördüğümde.,Sadness,yara hayvan görmek
1.5 yaşında olan kardeşimin büyüdüğünü görmek mutlu ediyor.,Happy,yaş olan kardeş büyümek görmek mutlu ediyor
Paketleme çok güzel ve sağlam geldi ama malzeme güzel ama çok kaliteli değil,Neutral,paketlemek çok güzel sağlam gelmek malzeme güzel çok kalite değil
Sınıf arkadaşımın ortada bir olay yokken bana bulaşmasına çok öfkelendim.,Anger,sınıf arkadaş orta olay yok bulaşmak çok öfke
teog sınavında 3 yanlışım oluğunu öğrendiğimde çok sevindim.,Happy,teog sınav yanlış oluk öğrenmek çok sevinmek
Filmlerde gördüğüm ilginç olaylarda şaşırırım.,Surprise,film görmek ilginç olay şaşırmak
"Daha var mesela; Bursa, Caddebostan, meşhur metroda aktarma yaptığımız Ayrılık Çeşmesi??, Baltalimanı, Cihangir, Feriköy, Çengelköy, Âşiyan gibi gibi merak ederseniz söylerim onları da. ??",Neutral,var meselâ bursa caddebostan meşhur metro aktarmak yapmak ayrılık çeşme baltalimanı cihangir feriköy çengelköy şiyan merak ederseniz söylemek
sevdiklerimden ayrı kalmaktan çok korkarım.,Fear,sevmek ayrı kalmak çok korkmak
Eğitim hayatımda başarılı olmak.,Happy,eğitim hayat başarı olmak
Matematik dersinden.,Fear,matematik ders
"""Harry poter'i"" beğenmeyen insanlara şaşırıyorum.",Surprise,harry poter beğenmek insan şaşırmak
Geçen yıl yakın bir arkadaşıma sürpriz doğum günü partisi hazırlamıştım ve çok mutlu olmuştu. Onun mutlu olması beni de mutlu etti.,Happy,geçen yıl yakın arkadaş sürpriz doğum gün parti hazırlamak çok mutlu olmak o mutlu olmak mutlu etti
Hamileyken sahip olduğum çocuk aniden öldüğünde çok acıtıyor.,Sadness,hamileyken sahip olduğum çocuk aniden öldüğünde çok acımak
Annemi gördüğüm her an.,Happy,anne görmek an
"Film atmosferiyle dikkat çekici olsa da, hikâye zaman zaman derinliğini kaybedebiliyor.",Neutral,film atmosfer dikkat çekiç olsa hik ye zaman zaman derinlik kaybetmek
Karşısındakini göz göre göre kandıran insanlardan.,Anger,karşı göz kanmak insan
Birisinin kusması tiksindirir.,Disgust,biri kusmak tiksinmek
Yapmadığı bir şeyi yapmış gibi anlatan insanlar.,Anger,yapmak şey yapmak anlamak insan
Haksızlığa uğradığımda çok öfkelenirim.,Anger,hak uğramak çok öfke
Okul servisi yokuş yukarı çıkmaya başladığı zaman.,Fear,okul servis yokuş yukarı çıkmak başlamak zaman
Tükürük.,Disgust,tükürük
"Seçmenler, adayların vizyonlarını değerlendirebilirler.",Neutral,seçmen aday vizyon değer
"Karakter gelişimi ve duygusal derinlik açısından güçlü bir film, ancak zaman zaman temposu yavaş olabiliyor.",Neutral,karakter gelişim duygu derinlik açı güç film zaman zaman tempo yavaş olabiliyor
fena bir film değil,Neutral,fena film değil
Bilişim teknolojisi siyasetin kilit noktası haline geldi çünkü Ankara Ulustaki İkinci Meclis binasının karşısında ortaya çıktı.,Neutral,bilişim teknoloji siyaset kilit nokta hal gelmek ankara ulus ikinci meclis bina karşı orta çıkmak
Pazar günü akşamı ödev olduğunu hatırlayınca korkarım.,Fear,pazar gün akşam ödev olduğunu hatırlamak korkmak
Hiç beklemediğim kişilerin dedikodu yaptıklarını duyduğumda şaşırdım.,Surprise,hiç beklemek kişi dedikodu yapmak duymak şaşırmak
Bilgisayarımdan oyunum silinmesine.,Anger,bilgisayar oyun silmek
oğlumun üniversiteye gitmesini görmek daha ne olsun en büyük mutluluk.,Happy,oğlumun üniversite gitmek görmek olsun büyük mutlu
"RT @meraklihavaci: Türk Hava Yolları, 2021 yılının şubat dönemi toplam yolcu sayısının 1,9 milyon olarak gerçekleştiğini açıkladı. Kamu Aydınlatma Platformu (KAP)'na yapılan açıklamanın detayları ve tablosu : https://t.co/rgSGq5mSE4 https://t.co/BvXuJ5UGMj",Neutral,türk hava yol yıl şubat dönem toplam yolcu sayı milyon olarak gerçek açıklamak kamu aydınlatmak platform kap na yapmak açıklamak detay tablo
Beklemediğim her şey.,Surprise,beklemek şey
"""Hepsi bu fiyata. Lensler ayrı ayrı geliyor ve siz kendiniz takıyorsunuz. Bilgi teknolojisi biraz zor sadece kurulumunu yaptıktan sonra harika görünüyorlar.""",Neutral,fiyat lens ayrı ayrı gelmek kendi takmak bilgi teknoloji zor sadece kurulum yapmak sonra harika görünmek
Arkadaşım öldüğü gün çok üzüldüm.,Sadness,arkadaş öldüğü gün çok üzüldüm
Bu liseyi kazandığımı öğrendiğimde.,Happy,lise kazanmak öğrenmek
Ne zaman yüksek bir yerden aşağıya baksam çok korkarım.,Fear,zaman yüksek yer aşağı bakmak çok korkmak
Tatile gittiğimiz zaman.,Happy,tatil gitmek zaman
Boynuma örümcek tırmanmıştı.,Fear,boyun örümcek tırmanmak
Her an mutluyum.,Happy,an mutlu
Yılandan korkarım.,Fear,yılan korkmak
Bir anda korkutulmak.,Fear,an korkutmak
Pis kokular.,Disgust,pis koku
"Siyasi partiler, genellikle seçmenlerin ihtiyaçlarını dikkate alırlar.",Neutral,siyasî parti genellikle seçmen ihtiyaç dikkat alırlar
Paramın olmaması.,Sadness,para olmak
Ön yargılı insanlara.,Anger,ön yargı insan
Arkadaşlarım ile birlikte evde yaptığımız partide.,Happy,arkadaş birlikte ev yapmak parti
yanlış anlaşılmak beni sinirlendirir,Anger,yanlış anlaşmak sinirlenmek
"Dün izledim, görsel efektler iyiydi ama bağlantılar daha iyi yapılabilirdi.",Neutral,dün izlemek görsel efekt iyi bağlantı iyi yapmak
Yakınlarımı kaybettiğimde üzülürüm.,Sadness,yakın kaybetmek üzülürüm
"""Club Brugge"" yenilip ""Avrupa Ligi"" ne devam edemeyince üzüldüm.",Sadness,club brugge yenmek avrupa ligi devam edemeyince üzüldüm
Bindiğim uçak hava boşluğuna  girdiği zaman.,Fear,binmek uçak hava boşluk girmek zaman
